IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.252.91.41,2052,80,false,SYD,Oceania,Sydney,94,4.41
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,94,4.41
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,93,4.41
54.253.222.7,2082,80,false,SYD,Oceania,Sydney,101,4.40
54.79.190.249,2095,80,false,SYD,Oceania,Sydney,93,4.36
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,93,4.35
54.252.91.41,2087,80,false,SYD,Oceania,Sydney,96,4.29
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,94,4.29
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,93,4.25
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,94,4.20
54.252.91.41,2083,80,false,SYD,Oceania,Sydney,111,4.18
54.252.91.41,2053,80,false,SYD,Oceania,Sydney,101,4.16
54.252.91.41,2086,80,false,SYD,Oceania,Sydney,100,4.13
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,93,4.03
67.226.222.214,80,443,true,ORD,North America,Chicago,241,3.89
54.185.82.224,443,443,true,SEA,North America,Seattle,204,3.65
67.226.222.2,443,443,true,ORD,North America,Chicago,225,3.28
54.184.120.165,443,443,true,SEA,North America,Seattle,227,3.00
67.226.222.36,80,443,true,ORD,North America,Chicago,221,2.82
13.36.162.145,2086,80,false,CDG,Europe,Paris,247,2.06
13.36.162.145,2082,80,false,CDG,Europe,Paris,248,2.05
13.36.162.145,2053,80,false,CDG,Europe,Paris,248,2.05
13.36.63.124,2052,80,false,CDG,Europe,Paris,248,2.04
15.160.80.28,2095,80,false,MXP,Europe,Milan,291,1.94
15.161.40.69,2096,80,false,MXP,Europe,Milan,265,1.94
15.161.186.110,2087,80,false,MXP,Europe,Milan,264,1.94
15.160.14.66,2083,80,false,MXP,Europe,Milan,263,1.93
15.161.216.233,2086,80,false,MXP,Europe,Milan,272,1.93
15.161.40.69,2053,80,false,MXP,Europe,Milan,265,1.93
15.160.15.101,2052,80,false,MXP,Europe,Milan,266,1.93
15.160.19.149,2082,80,false,MXP,Europe,Milan,265,1.93
15.161.74.249,2083,80,false,MXP,Europe,Milan,266,1.93
13.37.165.175,2053,80,false,CDG,Europe,Paris,248,1.93
15.160.250.170,2052,80,false,MXP,Europe,Milan,264,1.93
15.160.15.255,2086,80,false,MXP,Europe,Milan,264,1.93
15.161.40.69,2095,80,false,MXP,Europe,Milan,266,1.93
15.160.15.255,2082,80,false,MXP,Europe,Milan,264,1.92
15.160.80.28,2052,80,false,MXP,Europe,Milan,266,1.92
15.160.250.170,2087,80,false,MXP,Europe,Milan,265,1.92
15.161.74.249,2087,80,false,MXP,Europe,Milan,266,1.92
15.160.80.28,2096,80,false,MXP,Europe,Milan,266,1.92
15.160.14.66,2082,80,false,MXP,Europe,Milan,264,1.91
15.160.80.28,2083,80,false,MXP,Europe,Milan,264,1.91
15.160.15.101,2082,80,false,MXP,Europe,Milan,264,1.91
15.160.15.255,2052,80,false,MXP,Europe,Milan,264,1.91
15.160.19.149,2052,80,false,MXP,Europe,Milan,266,1.91
15.160.19.149,2095,80,false,MXP,Europe,Milan,265,1.91
15.160.19.149,2053,80,false,MXP,Europe,Milan,266,1.91
15.160.14.66,2052,80,false,MXP,Europe,Milan,263,1.91
15.160.15.101,2087,80,false,MXP,Europe,Milan,264,1.91
15.160.14.66,2086,80,false,MXP,Europe,Milan,265,1.90
15.160.15.255,2087,80,false,MXP,Europe,Milan,267,1.90
15.160.15.255,2053,80,false,MXP,Europe,Milan,270,1.90
15.160.15.101,2096,80,false,MXP,Europe,Milan,265,1.90
15.160.15.101,2086,80,false,MXP,Europe,Milan,271,1.90
15.160.15.255,2083,80,false,MXP,Europe,Milan,268,1.89
15.160.15.101,2095,80,false,MXP,Europe,Milan,271,1.89
15.160.19.149,2083,80,false,MXP,Europe,Milan,265,1.89
15.160.19.149,2086,80,false,MXP,Europe,Milan,296,1.89
15.160.14.66,2095,80,false,MXP,Europe,Milan,265,1.89
15.160.14.66,2096,80,false,MXP,Europe,Milan,264,1.89
15.160.19.149,2096,80,false,MXP,Europe,Milan,266,1.89
15.160.14.66,2053,80,false,MXP,Europe,Milan,269,1.89
15.160.15.255,2096,80,false,MXP,Europe,Milan,263,1.89
15.160.19.149,2087,80,false,MXP,Europe,Milan,265,1.89
15.160.15.255,2095,80,false,MXP,Europe,Milan,266,1.88
