IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.27.34,443,443,true,FRA,Europe,Frankfurt,259,4.56
34.141.52.103,443,443,true,FRA,Europe,Frankfurt,251,4.56
34.118.52.240,443,443,true,FRA,Europe,Frankfurt,268,4.56
34.65.245.221,443,443,true,FRA,Europe,Frankfurt,250,4.55
34.118.7.22,443,443,true,FRA,Europe,Frankfurt,310,4.54
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,253,4.54
34.118.121.202,443,443,true,FRA,Europe,Frankfurt,297,4.54
34.118.53.102,443,443,true,FRA,Europe,Frankfurt,322,4.53
34.118.23.146,443,443,true,FRA,Europe,Frankfurt,346,4.53
34.116.158.27,443,443,true,FRA,Europe,Frankfurt,319,4.53
34.91.133.41,443,443,true,FRA,Europe,Frankfurt,269,4.52
34.91.133.41,443,443,true,FRA,Europe,Frankfurt,259,4.52
35.198.158.4,443,443,true,FRA,Europe,Frankfurt,272,4.52
34.90.185.199,443,443,true,FRA,Europe,Frankfurt,255,4.52
34.159.190.252,443,443,true,FRA,Europe,Frankfurt,265,4.52
35.204.178.160,443,443,true,FRA,Europe,Frankfurt,266,4.51
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,290,4.51
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,264,4.50
35.234.116.230,443,443,true,FRA,Europe,Frankfurt,265,4.49
34.159.165.190,443,443,true,FRA,Europe,Frankfurt,254,4.49
34.65.241.150,443,443,true,FRA,Europe,Frankfurt,249,4.49
34.116.239.245,443,443,true,FRA,Europe,Frankfurt,283,4.48
34.65.67.223,443,443,true,FRA,Europe,Frankfurt,254,4.48
34.32.128.54,443,443,true,FRA,Europe,Frankfurt,262,4.48
34.91.114.30,443,443,true,FRA,Europe,Frankfurt,259,4.47
34.65.15.230,443,443,true,FRA,Europe,Frankfurt,252,4.47
35.246.180.179,443,443,true,FRA,Europe,Frankfurt,268,4.47
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,257,4.46
34.65.67.223,443,443,true,FRA,Europe,Frankfurt,268,4.46
34.159.160.217,443,443,true,FRA,Europe,Frankfurt,252,4.46
34.91.119.173,443,443,true,FRA,Europe,Frankfurt,271,4.45
34.116.239.245,443,443,true,FRA,Europe,Frankfurt,297,4.45
34.65.110.208,443,443,true,FRA,Europe,Frankfurt,265,4.44
34.159.174.220,443,443,true,FRA,Europe,Frankfurt,262,4.44
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,262,4.43
34.118.93.127,443,443,true,FRA,Europe,Frankfurt,299,4.42
34.91.114.30,443,443,true,FRA,Europe,Frankfurt,256,4.42
34.89.150.139,443,443,true,FRA,Europe,Frankfurt,259,4.42
34.118.67.21,443,443,true,FRA,Europe,Frankfurt,297,4.42
34.107.80.187,443,443,true,FRA,Europe,Frankfurt,292,4.41
34.116.201.167,443,443,true,FRA,Europe,Frankfurt,293,4.40
34.116.151.200,443,443,true,FRA,Europe,Frankfurt,311,4.40
34.107.105.77,443,443,true,FRA,Europe,Frankfurt,288,4.40
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,256,4.40
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,259,4.39
34.65.92.52,443,443,true,FRA,Europe,Frankfurt,270,4.39
34.116.179.88,443,443,true,FRA,Europe,Frankfurt,307,4.39
34.65.67.223,443,443,true,FRA,Europe,Frankfurt,261,4.38
34.147.22.90,443,443,true,FRA,Europe,Frankfurt,279,4.37
34.65.151.92,443,443,true,FRA,Europe,Frankfurt,260,4.37
34.65.113.146,443,443,true,FRA,Europe,Frankfurt,261,4.37
34.90.21.1,443,443,true,FRA,Europe,Frankfurt,259,4.36
34.91.119.173,443,443,true,FRA,Europe,Frankfurt,255,4.36
34.118.69.139,443,443,true,FRA,Europe,Frankfurt,272,4.34
34.32.151.133,443,443,true,FRA,Europe,Frankfurt,267,4.34
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,583,4.34
34.65.241.150,443,443,true,FRA,Europe,Frankfurt,262,4.34
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,304,4.32
34.90.182.145,443,443,true,FRA,Europe,Frankfurt,256,4.31
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,296,4.31
34.91.166.255,443,443,true,FRA,Europe,Frankfurt,261,4.31
34.118.99.186,443,443,true,FRA,Europe,Frankfurt,273,4.31
