IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.63.32,443,443,true,FRA,Europe,Frankfurt,254,0.00
34.65.78.221,443,443,true,FRA,Europe,Frankfurt,258,0.00
34.65.241.240,443,443,true,FRA,Europe,Frankfurt,259,0.00
34.65.6.31,443,443,true,FRA,Europe,Frankfurt,264,0.00
34.89.233.20,443,443,true,FRA,Europe,Frankfurt,264,0.00
35.242.249.117,443,443,true,FRA,Europe,Frankfurt,267,0.00
35.228.77.188,8080,80,false,ARN,Europe,Stockholm,272,0.00
34.90.185.199,443,443,true,FRA,Europe,Frankfurt,273,0.00
34.154.43.155,443,443,true,FRA,Europe,Frankfurt,290,0.00
34.154.105.105,443,443,true,FRA,Europe,Frankfurt,290,0.00
34.154.9.95,443,443,true,FRA,Europe,Frankfurt,292,0.00
34.159.143.68,443,443,true,FRA,Europe,Frankfurt,294,0.00
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,294,0.00
34.118.44.55,443,443,true,FRA,Europe,Frankfurt,294,0.00
34.91.84.129,443,443,true,FRA,Europe,Frankfurt,299,0.00
34.65.136.216,443,443,true,FRA,Europe,Frankfurt,300,0.00
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,315,0.00
34.154.243.21,443,443,true,FRA,Europe,Frankfurt,318,0.00
34.118.25.142,443,443,true,FRA,Europe,Frankfurt,322,0.00
34.147.28.91,443,443,true,FRA,Europe,Frankfurt,326,0.00
34.107.84.248,443,443,true,FRA,Europe,Frankfurt,347,0.00
34.116.181.34,443,443,true,FRA,Europe,Frankfurt,359,0.00
34.118.21.191,443,443,true,FRA,Europe,Frankfurt,360,0.00
