IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.184.198,2087,2087,true,SIN,Asia Pacific,Singapore,121,10.98
8.219.247.203,8880,8880,false,SIN,Asia Pacific,Singapore,23,10.98
8.219.147.58,2083,2083,true,SIN,Asia Pacific,Singapore,57,10.98
8.219.139.13,80,80,false,SIN,Asia Pacific,Singapore,24,10.97
8.222.208.83,2052,2052,false,SIN,Asia Pacific,Singapore,16,10.97
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,17,10.97
8.219.140.63,80,80,false,SIN,Asia Pacific,Singapore,18,10.96
8.219.197.111,2095,2095,false,SIN,Asia Pacific,Singapore,4,10.95
8.219.228.193,2095,2095,false,SIN,Asia Pacific,Singapore,10,10.95
47.236.237.90,80,80,false,SIN,Asia Pacific,Singapore,11,10.94
47.236.117.48,8080,8080,false,SIN,Asia Pacific,Singapore,23,10.94
8.219.222.98,2052,2052,false,SIN,Asia Pacific,Singapore,19,10.93
8.219.248.47,2087,2087,true,SIN,Asia Pacific,Singapore,91,10.92
8.219.191.40,2052,2052,false,SIN,Asia Pacific,Singapore,15,10.92
47.236.169.141,2095,2095,false,SIN,Asia Pacific,Singapore,33,10.92
47.236.166.131,2096,2096,true,SIN,Asia Pacific,Singapore,62,10.91
8.222.226.15,80,80,false,SIN,Asia Pacific,Singapore,8,10.91
47.236.170.54,2087,2087,true,SIN,Asia Pacific,Singapore,74,10.91
47.236.168.17,8880,8880,false,SIN,Asia Pacific,Singapore,9,10.91
8.218.201.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,10.91
8.218.146.204,443,443,true,HKG,Asia Pacific,Hong Kong,64,10.90
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,19,10.90
8.219.191.110,2087,2087,true,SIN,Asia Pacific,Singapore,91,10.90
47.236.168.17,2095,2095,false,SIN,Asia Pacific,Singapore,16,10.90
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,21,10.89
8.222.212.172,2095,2095,false,SIN,Asia Pacific,Singapore,8,10.89
8.219.97.179,443,443,true,SIN,Asia Pacific,Singapore,69,10.89
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,87,10.88
8.222.222.64,80,80,false,SIN,Asia Pacific,Singapore,20,10.87
8.222.252.150,8880,8880,false,SIN,Asia Pacific,Singapore,15,10.87
8.210.107.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,10.87
8.219.199.220,8443,8443,true,SIN,Asia Pacific,Singapore,58,10.86
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,73,10.86
8.219.111.175,2082,2082,false,SIN,Asia Pacific,Singapore,144,10.85
8.222.224.17,8443,8443,true,SIN,Asia Pacific,Singapore,140,10.84
8.217.250.5,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,10.84
8.219.145.245,2052,2052,false,SIN,Asia Pacific,Singapore,10,10.83
8.219.202.130,2082,2082,false,SIN,Asia Pacific,Singapore,21,10.83
8.219.103.65,2096,2096,true,SIN,Asia Pacific,Singapore,116,10.83
8.218.149.193,2086,2086,false,HKG,Asia Pacific,Hong Kong,55,10.82
8.219.241.189,8080,8080,false,SIN,Asia Pacific,Singapore,6,10.82
8.222.144.50,2087,2087,true,SIN,Asia Pacific,Singapore,63,10.82
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,10,10.81
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,50,10.81
8.218.65.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,144,10.81
8.219.170.180,2083,2083,true,SIN,Asia Pacific,Singapore,60,10.80
47.237.0.31,8443,8443,true,SIN,Asia Pacific,Singapore,52,10.80
8.219.196.24,80,80,false,SIN,Asia Pacific,Singapore,7,10.80
47.236.170.54,2087,2087,true,SIN,Asia Pacific,Singapore,74,10.80
8.219.206.53,2083,2083,true,SIN,Asia Pacific,Singapore,55,10.79
8.218.22.210,80,80,false,HKG,Asia Pacific,Hong Kong,78,10.79
8.219.5.10,2082,2082,false,SIN,Asia Pacific,Singapore,15,10.79
47.236.171.205,2082,2082,false,SIN,Asia Pacific,Singapore,23,10.78
47.236.117.48,80,80,false,SIN,Asia Pacific,Singapore,7,10.78
8.219.13.143,8443,8443,true,SIN,Asia Pacific,Singapore,74,10.77
8.219.247.203,2096,2096,true,SIN,Asia Pacific,Singapore,168,10.77
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,100,10.77
8.219.5.10,8880,8880,false,SIN,Asia Pacific,Singapore,12,10.76
8.219.191.110,2083,2083,true,SIN,Asia Pacific,Singapore,254,10.76
8.218.174.118,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,10.76
8.218.127.249,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,10.76
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,13,10.76
8.217.149.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,219,10.75
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,99,10.75
8.219.247.203,8080,8080,false,SIN,Asia Pacific,Singapore,5,10.75
8.219.78.1,2086,2086,false,SIN,Asia Pacific,Singapore,21,10.75
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,5,10.74
8.219.6.150,8443,8443,true,SIN,Asia Pacific,Singapore,76,10.74
8.219.201.174,8080,8080,false,SIN,Asia Pacific,Singapore,7,10.74
8.222.254.91,8443,8443,true,SIN,Asia Pacific,Singapore,76,10.74
8.219.111.147,443,443,true,SIN,Asia Pacific,Singapore,69,10.73
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,27,10.73
8.219.101.138,2052,2052,false,SIN,Asia Pacific,Singapore,11,10.73
8.219.1.92,2082,2082,false,SIN,Asia Pacific,Singapore,7,10.73
8.219.5.10,8443,8443,true,SIN,Asia Pacific,Singapore,78,10.72
47.236.164.215,2095,2095,false,SIN,Asia Pacific,Singapore,4,10.72
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,23,10.72
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,49,10.72
8.218.85.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,10.71
8.219.241.189,2086,2086,false,SIN,Asia Pacific,Singapore,3,10.71
8.219.137.50,8880,8880,false,SIN,Asia Pacific,Singapore,16,10.71
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,129,10.71
8.219.191.40,2083,2083,true,SIN,Asia Pacific,Singapore,65,10.70
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,138,10.70
8.219.170.223,2083,2083,true,SIN,Asia Pacific,Singapore,112,10.70
8.219.161.129,8880,8880,false,SIN,Asia Pacific,Singapore,143,10.70
8.219.170.180,2086,2086,false,SIN,Asia Pacific,Singapore,15,10.69
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,10.68
8.217.248.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,10.68
8.219.250.239,2082,2082,false,SIN,Asia Pacific,Singapore,43,10.68
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,100,10.67
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,89,10.67
47.236.158.158,2083,2083,true,SIN,Asia Pacific,Singapore,88,10.67
8.219.98.13,80,80,false,SIN,Asia Pacific,Singapore,19,10.67
8.219.111.147,2053,2053,true,SIN,Asia Pacific,Singapore,70,10.67
8.219.84.102,2052,2052,false,SIN,Asia Pacific,Singapore,12,10.67
8.219.209.14,2052,2052,false,SIN,Asia Pacific,Singapore,21,10.66
8.219.1.92,2083,2083,true,SIN,Asia Pacific,Singapore,80,10.66
47.236.116.26,443,443,true,SIN,Asia Pacific,Singapore,40,10.66
8.219.193.22,443,443,true,SIN,Asia Pacific,Singapore,75,10.66
8.210.65.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,10.65
8.219.196.24,2053,2053,true,SIN,Asia Pacific,Singapore,112,10.65
8.219.13.143,2052,2052,false,SIN,Asia Pacific,Singapore,14,10.64
8.219.6.150,2095,2095,false,SIN,Asia Pacific,Singapore,16,10.64
8.219.175.127,2082,2082,false,SIN,Asia Pacific,Singapore,21,10.64
8.219.12.152,2082,2082,false,SIN,Asia Pacific,Singapore,16,10.63
8.219.40.255,2083,2083,true,SIN,Asia Pacific,Singapore,65,10.62
8.222.244.192,8443,8443,true,SIN,Asia Pacific,Singapore,42,10.61
47.236.146.249,8080,8080,false,SIN,Asia Pacific,Singapore,9,10.61
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,86,10.61
8.218.158.94,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,10.61
8.219.6.150,2087,2087,true,SIN,Asia Pacific,Singapore,154,10.61
8.219.200.145,8880,8880,false,SIN,Asia Pacific,Singapore,25,10.61
8.217.251.62,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,10.61
8.222.212.172,80,80,false,SIN,Asia Pacific,Singapore,51,10.61
8.219.11.158,2096,2096,true,SIN,Asia Pacific,Singapore,84,10.60
8.219.174.142,2095,2095,false,SIN,Asia Pacific,Singapore,19,10.60
8.219.107.135,2087,2087,true,SIN,Asia Pacific,Singapore,92,10.60
8.222.255.15,2083,2083,true,SIN,Asia Pacific,Singapore,91,10.59
8.217.250.222,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,10.58
8.219.186.189,8080,8080,false,SIN,Asia Pacific,Singapore,3,10.58
8.219.12.152,8880,8880,false,SIN,Asia Pacific,Singapore,28,10.57
8.219.3.53,8880,8880,false,SIN,Asia Pacific,Singapore,20,10.57
8.219.245.187,2052,2052,false,SIN,Asia Pacific,Singapore,8,10.57
8.219.124.227,443,443,true,SIN,Asia Pacific,Singapore,87,10.57
8.219.100.168,8080,8080,false,SIN,Asia Pacific,Singapore,11,10.57
8.219.196.117,2083,2083,true,SIN,Asia Pacific,Singapore,94,10.57
8.219.60.54,2082,2082,false,SIN,Asia Pacific,Singapore,15,10.57
8.219.51.211,2095,2095,false,SIN,Asia Pacific,Singapore,14,10.56
8.219.142.229,2095,2095,false,SIN,Asia Pacific,Singapore,12,10.56
8.210.107.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,10.56
8.222.152.165,443,443,true,SIN,Asia Pacific,Singapore,60,10.56
8.219.209.14,8080,8080,false,SIN,Asia Pacific,Singapore,18,10.56
8.219.242.208,2052,2052,false,SIN,Asia Pacific,Singapore,6,10.55
8.218.8.142,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,10.55
8.219.250.239,8880,8880,false,SIN,Asia Pacific,Singapore,19,10.55
8.222.180.86,2096,2096,true,SIN,Asia Pacific,Singapore,80,10.54
8.219.13.143,2082,2082,false,SIN,Asia Pacific,Singapore,12,10.54
8.222.244.123,8443,8443,true,SIN,Asia Pacific,Singapore,77,10.54
8.219.141.174,2086,2086,false,SIN,Asia Pacific,Singapore,10,10.54
8.219.126.3,2053,2053,true,SIN,Asia Pacific,Singapore,118,10.53
8.219.229.190,8880,8880,false,SIN,Asia Pacific,Singapore,19,10.52
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,32,10.51
8.219.228.157,2082,2082,false,SIN,Asia Pacific,Singapore,27,10.51
8.218.126.53,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,10.51
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,42,10.51
47.236.169.141,2095,2095,false,SIN,Asia Pacific,Singapore,14,10.51
8.219.202.130,2087,2087,true,SIN,Asia Pacific,Singapore,98,10.50
8.219.179.34,443,443,true,SIN,Asia Pacific,Singapore,119,10.49
8.219.170.223,8443,8443,true,SIN,Asia Pacific,Singapore,59,10.49
8.219.122.55,2083,2083,true,SIN,Asia Pacific,Singapore,64,10.49
47.236.144.196,2086,2086,false,SIN,Asia Pacific,Singapore,10,10.49
8.219.245.187,2087,2087,true,SIN,Asia Pacific,Singapore,138,10.49
8.218.156.91,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,10.49
47.236.158.158,2087,2087,true,SIN,Asia Pacific,Singapore,58,10.48
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,18,10.48
8.222.174.108,2082,2082,false,SIN,Asia Pacific,Singapore,22,10.47
8.219.235.164,2086,2086,false,SIN,Asia Pacific,Singapore,7,10.46
8.222.202.163,2053,2053,true,SIN,Asia Pacific,Singapore,82,10.46
8.219.87.30,2083,2083,true,SIN,Asia Pacific,Singapore,108,10.45
8.219.175.127,2087,2087,true,SIN,Asia Pacific,Singapore,143,10.45
47.236.180.51,80,80,false,SIN,Asia Pacific,Singapore,19,10.44
8.219.238.145,80,80,false,SIN,Asia Pacific,Singapore,18,10.44
47.236.116.182,2082,2082,false,SIN,Asia Pacific,Singapore,32,10.44
47.236.164.215,80,80,false,SIN,Asia Pacific,Singapore,13,10.42
8.222.187.4,80,80,false,SIN,Asia Pacific,Singapore,13,10.42
8.219.194.170,2087,2087,true,SIN,Asia Pacific,Singapore,79,10.41
8.219.215.214,443,443,true,SIN,Asia Pacific,Singapore,87,10.41
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,10.41
8.219.238.145,2095,2095,false,SIN,Asia Pacific,Singapore,7,10.41
47.236.170.54,2053,2053,true,SIN,Asia Pacific,Singapore,51,10.41
8.219.202.130,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.40
8.218.204.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,10.40
8.218.48.92,2053,2053,true,HKG,Asia Pacific,Hong Kong,210,10.39
