IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.112.222,443,443,true,FRA,Europe,Frankfurt,276,3.27
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,333,3.27
193.122.56.209,443,443,true,FRA,Europe,Frankfurt,341,3.27
130.162.163.131,443,443,true,FRA,Europe,Frankfurt,282,3.26
150.230.122.2,443,443,true,FRA,Europe,Frankfurt,284,3.22
89.168.95.51,443,443,true,FRA,Europe,Frankfurt,329,3.21
158.101.32.53,2053,443,true,LAX,North America,Los Angeles,177,3.19
141.147.111.107,443,443,true,FRA,Europe,Frankfurt,268,3.19
138.2.130.23,443,443,true,FRA,Europe,Frankfurt,318,3.18
89.168.126.137,443,443,true,FRA,Europe,Frankfurt,323,3.18
89.168.81.151,443,443,true,FRA,Europe,Frankfurt,321,3.17
130.162.181.92,443,443,true,FRA,Europe,Frankfurt,265,3.16
158.180.12.93,443,443,true,FRA,Europe,Frankfurt,263,3.15
89.168.68.122,443,443,true,FRA,Europe,Frankfurt,323,3.14
158.101.215.3,443,443,true,FRA,Europe,Frankfurt,257,3.13
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,327,3.05
158.180.31.46,443,443,true,FRA,Europe,Frankfurt,317,3.01
40.233.20.157,2053,443,true,DFW,North America,Dallas,298,3.01
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,84,2.99
152.67.135.146,443,443,true,FRA,Europe,Frankfurt,289,2.99
89.168.95.29,443,443,true,FRA,Europe,Frankfurt,322,2.98
144.24.182.101,443,443,true,FRA,Europe,Frankfurt,342,2.98
141.144.246.78,443,443,true,FRA,Europe,Frankfurt,331,2.95
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,315,2.91
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,341,2.90
164.152.17.14,443,443,true,ORD,North America,Chicago,253,2.89
130.162.247.205,443,443,true,FRA,Europe,Frankfurt,332,2.88
89.168.80.17,443,443,true,FRA,Europe,Frankfurt,340,2.88
130.162.247.195,443,443,true,FRA,Europe,Frankfurt,322,2.86
132.226.205.192,443,443,true,FRA,Europe,Frankfurt,325,2.85
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,343,2.84
