IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.82.35,2052,2052,false,SIN,Asia Pacific,Singapore,4,10.91
8.222.183.242,8880,8880,false,SIN,Asia Pacific,Singapore,8,10.91
8.219.228.193,8443,8443,true,SIN,Asia Pacific,Singapore,140,10.91
8.222.202.163,2095,2095,false,SIN,Asia Pacific,Singapore,5,10.90
47.245.114.163,2086,2086,false,SIN,Asia Pacific,Singapore,12,10.90
8.219.157.97,8880,8880,false,SIN,Asia Pacific,Singapore,4,10.89
8.219.188.162,80,80,false,SIN,Asia Pacific,Singapore,3,10.89
8.219.170.223,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.89
47.236.169.15,2087,2087,true,SIN,Asia Pacific,Singapore,78,10.88
8.219.198.34,2096,2096,true,SIN,Asia Pacific,Singapore,81,10.88
8.222.244.192,2053,2053,true,SIN,Asia Pacific,Singapore,67,10.88
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,73,10.87
8.219.103.65,2086,2086,false,SIN,Asia Pacific,Singapore,5,10.87
47.236.104.98,2096,2096,true,SIN,Asia Pacific,Singapore,89,10.87
8.222.254.91,8080,8080,false,SIN,Asia Pacific,Singapore,4,10.87
8.219.235.164,2083,2083,true,SIN,Asia Pacific,Singapore,118,10.86
8.219.197.111,443,443,true,SIN,Asia Pacific,Singapore,97,10.86
8.222.209.223,8880,8880,false,SIN,Asia Pacific,Singapore,10,10.85
8.219.213.112,2086,2086,false,SIN,Asia Pacific,Singapore,2,10.85
47.237.0.31,8080,8080,false,SIN,Asia Pacific,Singapore,15,10.84
8.222.224.17,443,443,true,SIN,Asia Pacific,Singapore,93,10.84
47.236.168.17,8080,8080,false,SIN,Asia Pacific,Singapore,33,10.83
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,13,10.83
8.222.237.131,2052,2052,false,SIN,Asia Pacific,Singapore,37,10.82
8.222.165.117,2053,2053,true,SIN,Asia Pacific,Singapore,66,10.82
8.222.212.219,8443,8443,true,SIN,Asia Pacific,Singapore,100,10.82
47.237.14.220,80,80,false,SIN,Asia Pacific,Singapore,22,10.82
8.219.170.223,2083,2083,true,SIN,Asia Pacific,Singapore,40,10.82
8.219.61.52,2053,2053,true,SIN,Asia Pacific,Singapore,66,10.81
8.222.208.38,2082,2082,false,SIN,Asia Pacific,Singapore,4,10.80
8.219.82.35,8443,8443,true,SIN,Asia Pacific,Singapore,115,10.80
8.219.201.8,2087,2087,true,SIN,Asia Pacific,Singapore,102,10.80
8.219.199.220,443,443,true,SIN,Asia Pacific,Singapore,152,10.79
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,114,10.79
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,20,10.78
47.236.104.11,2086,2086,false,SIN,Asia Pacific,Singapore,15,10.78
8.222.164.209,2087,2087,true,SIN,Asia Pacific,Singapore,86,10.78
8.217.239.116,2053,2053,true,HKG,Asia Pacific,Hong Kong,113,10.78
8.222.152.165,2096,2096,true,SIN,Asia Pacific,Singapore,44,10.77
8.219.82.35,2095,2095,false,SIN,Asia Pacific,Singapore,8,10.77
8.219.126.3,2052,2052,false,SIN,Asia Pacific,Singapore,20,10.77
8.219.145.245,2096,2096,true,SIN,Asia Pacific,Singapore,136,10.77
8.222.249.190,2086,2086,false,SIN,Asia Pacific,Singapore,13,10.77
8.219.189.143,2053,2053,true,SIN,Asia Pacific,Singapore,92,10.77
8.219.197.111,2095,2095,false,SIN,Asia Pacific,Singapore,17,10.77
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,23,10.76
8.218.143.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,10.76
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,126,10.76
